Day,Mean_Demand,Min_Demand,Max_Demand,Total_Demand,Lower_CI,Upper_CI
2024-12-31,3996.89,3837.46,4310.84,91928.46,1675.69,6318.09
2025-01-01,4000.33,3992.83,4005.27,96007.92,1616.89,6383.77
2025-01-02,4010.42,4005.68,4015.16,96250.06,1623.6,6397.24
2025-01-03,4020.27,4015.57,4024.96,96486.55,1630.14,6410.41
2025-01-04,4030.03,4025.37,4034.67,96720.71,1636.65,6423.41
2025-01-05,4039.69,4035.08,4044.29,96952.54,1643.13,6436.25
2025-01-06,4049.25,4044.69,4053.81,97182.07,1649.59,6448.92
2025-01-07,4058.72,4054.2,4063.23,97409.31,1656.01,6461.43
2025-01-08,4068.1,4063.62,4072.56,97634.28,1662.4,6473.79
2025-01-09,4077.38,4072.94,4081.79,97857.02,1668.77,6485.98
2025-01-10,4086.56,4082.18,4090.94,98077.54,1675.1,6498.03
2025-01-11,4095.66,4091.32,4099.99,98295.87,1681.4,6509.92
2025-01-12,4104.67,4100.37,4108.96,98512.02,1687.67,6521.66
2025-01-13,4113.58,4109.33,4117.83,98726.03,1693.91,6533.26
2025-01-14,4122.41,4118.2,4126.61,98937.9,1700.11,6544.71
2025-01-15,4131.15,4126.98,4135.31,99147.66,1706.28,6556.02
2025-01-16,4139.81,4135.67,4143.93,99355.34,1712.42,6567.19
2025-01-17,4148.37,4144.28,4152.45,99560.95,1718.52,6578.22
2025-01-18,4156.85,4152.8,4160.89,99764.51,1724.59,6589.12
2025-01-19,4165.25,4161.24,4169.25,99966.05,1730.63,6599.88
2025-01-20,4173.57,4169.6,4177.52,100165.58,1736.63,6610.51
2025-01-21,4181.8,4177.87,4185.72,100363.12,1742.59,6621.0
2025-01-22,4189.95,4186.05,4193.83,100558.7,1748.52,6631.37
2025-01-23,4198.01,4194.16,4201.85,100752.33,1754.42,6641.61
2025-01-24,4206.0,4202.19,4209.8,100944.04,1760.28,6651.73
2025-01-25,4213.91,4210.13,4217.67,101133.83,1766.1,6661.72
2025-01-26,4221.74,4218.0,4225.47,101321.74,1771.89,6671.59
2025-01-27,4229.49,4225.79,4233.18,101507.78,1777.64,6681.34
2025-01-28,4237.17,4233.5,4240.82,101691.97,1783.36,6690.97
2025-01-29,4244.76,4241.14,4248.38,101874.32,1789.04,6700.49
2025-01-30,4248.69,4248.69,4248.69,4248.69,1791.99,6705.4
